id,nombre,ini,fin,alumno_id,vip,obs,forma_id,canceled,school_id,person_name,created_at,updated_at
50043,semestral,2008-03-01,2008-08-31,50104,false,"",,,1,,,
50044,Eliana Janka,2007-03-01,2008-06-30,50031,true,"",,,1,,,
50045,Eva Mateos,2007-11-01,2008-10-31,50033,true,"",,,1,,,
50046,Fernando Larriestra,2007-06-01,2008-05-31,50036,false,"",,,1,,,
50047,Hernan Monteroso,2007-07-01,2008-08-31,50045,false,"",50002,,1,,,
50048,Jessica Esrubilsky,2008-02-01,2009-01-31,50047,false,"",,,1,,,
50049,Anual,2008-03-01,2009-02-28,50049,true,"",50001,,1,,,
50050,Karina Pallares,2007-10-01,2008-09-30,50054,true,"",,,1,,,
50051,anu,2007-10-01,2008-09-30,50074,false,"",50001,,1,,,
50052,Teresa Carrizo,2008-02-01,2008-07-31,50098,false,"",,,1,,,
50053,VerÃ³nica Larriestra,2008-02-01,2008-07-31,50099,false,"",,,1,,,
50054,anu,2007-12-01,2008-11-30,50105,false,"",50001,,1,,,
50055,Mariela Magnelli,2008-02-01,2009-01-31,50106,false,"",,2009-02-01,1,,,
50056,Liliana Crego,2008-03-01,2009-02-28,50108,false,"",,,1,,,
50057,ANU,2008-04-01,2009-03-31,50151,false,"",50001,,1,,,
50058,ANU,2008-04-01,2009-03-31,50153,false,esta a nombre de Andres del Hoyo,,2008-11-01,1,,,
50059,Mensual,2008-05-01,2008-05-31,50006,false,"",50001,,1,,,
50061,anual,2008-05-01,2009-04-30,50016,false,electron,50003,,1,,,
50062,Anual,2007-11-01,2008-10-31,50024,false,"",50003,,1,,,
50063,Semestral,2008-04-01,2008-09-30,50026,false,amex,50004,,1,,,
50064,Anual,2007-12-01,2008-11-30,50032,false,visa,50002,,1,,,
50065,Anual,2007-09-01,2008-08-31,50035,false,"",50003,,1,,,
50066,Anual,2007-10-01,2008-09-30,50062,false,"",50001,,1,,,
50068,Anual,2008-02-01,2009-01-31,50076,false,"",50001,,1,,,
50069,Anual,2007-06-01,2008-05-31,50079,false,"",50001,,1,,,
50070,Anual,2008-01-01,2008-12-31,50083,false,visa,50002,,1,,,
50071,Anual,2007-11-01,2008-10-31,50084,false,visa,50002,2008-11-01,1,,,
50072,Anual,2007-08-01,2008-10-31,50095,false,"",50001,2008-10-01,1,,,
50073,Anual,2007-06-01,2008-07-31,50100,false,"",50005,,1,,,
50075,Anual,2007-12-01,2008-11-30,50112,false,"",50001,,1,,,
50076,anual,2008-03-01,2009-02-28,50115,false,"",50003,2009-01-01,1,,,
50077,Semestral,2008-03-10,2008-08-10,50116,false,visa,50002,,1,,,
50078,Anual,2008-04-01,2009-03-31,50130,false,visa,50002,,1,,,
50079,anu,2008-04-10,2008-10-31,50133,false,"",50001,,1,,,
50080,anual,2008-01-01,2008-12-31,50030,false,"",50002,,1,,,
50081,Anual,2007-09-01,2008-08-31,50137,false,"",50001,,1,,,
50082,anual,2007-03-01,2008-02-29,50138,false,"",50001,,1,,,
50083,anual,2007-12-01,2008-11-30,50139,false,"",50001,,1,,,
50084,anual,2007-07-01,2008-06-30,50140,false,"",50001,,1,,,
50085,trim,2008-02-01,2008-04-30,50141,false,"",50001,,1,,,
50086,Anual,2008-04-15,2008-04-15,50027,false,"",50002,,1,,,
50087,Anual,2008-04-01,2009-03-02,50027,false,"",50002,,1,,,
50088,monitoria mensual,2008-04-21,2009-02-27,50059,false,"",50001,,1,,,
50089,Anual,2007-09-01,2008-08-30,50060,false,"",50002,,1,,,
50090,Anual,2007-07-01,2008-06-02,50067,false,"",50001,,1,,,
50091,anual,2007-09-01,2008-08-30,50089,false,"",50002,,1,,,
50092,Anual,2007-12-01,2008-11-29,50094,false,"",50002,,1,,,
50093,Anual,2007-06-01,2008-05-31,50097,false,"",50002,,1,,,
50094,Anual,2008-03-01,2009-02-28,50118,false,"",50001,,1,,,
50095,Anual,2007-10-01,2008-09-30,50119,false,"",50002,,1,,,
50096,anual,2008-05-01,2009-04-30,50037,false,dio de baja su plan anterior que duraba hasta sept 08,50003,,1,,,
50097,anual,2008-03-01,2009-02-28,50138,false,"",50004,,1,,,
50098,canje,2008-01-01,2008-05-31,50136,false,canje por publicaciÃ³n Estilos de Vida,50001,,1,,,
50099,bim,2008-04-09,2008-05-31,50160,false,"",50001,,1,,,
50100,anual,2008-03-10,2009-03-10,50125,false,"",50002,,1,,,
50101,anual,2007-08-01,2008-07-31,50041,false,trae la plata cada mes,50001,,1,,,
50102,anual,2007-10-01,2008-09-30,50043,true,"",50001,,1,,,
50103,anual,2007-07-01,2008-06-30,50051,false,paga casi siempre en efectivo,50002,,1,,,
50104,anual,2007-07-01,2008-06-30,50052,false,paga por mes,50001,,1,,,
50105,trimestral,2008-04-23,2008-06-30,50146,false,efectivo todo junto,50001,,1,,,
50106,anual,2008-05-01,2009-04-30,50159,false,"",50002,,1,,,
50107,anual,2008-06-01,2009-05-31,50007,false,Me tiene podrido pero sale muy bien en las fotos.,50003,,1,,,
50109,MEN,2008-05-16,2008-06-16,50174,false,"",50001,,1,,,
50110,Bimestral,2008-04-01,2008-05-31,50172,false,Barrio Norte,50001,,1,,,
50111,anual,2007-07-07,2008-06-05,50101,false,efectivo mes por medio,50004,,1,,,
50112,Trimestral,2008-03-01,2008-05-31,50124,false,pago efectivo todo junto,50001,,1,,,
50113,anual,2008-03-01,2009-02-01,50093,false,"",50002,,1,,,
50114,semestral,2008-04-03,2008-10-03,50148,false,Visa,50002,,1,,,
50115,semestral,2008-03-25,2008-09-25,50202,false,visa,50002,,1,,,
50116,monitoria mensual,2008-01-01,2008-12-31,50010,false,"",50001,,1,,,
50117,monitoria mensual,2008-05-16,2008-12-31,50013,false,"",50001,,1,,,
50118,anual,2008-04-01,2009-03-31,50201,false,"",50005,2008-11-01,1,,,
50119,monitoria mensual,2008-05-16,2008-12-31,50002,false,"",50001,,1,,,
50120,semestral,2008-05-01,2008-10-31,50200,false,visa,50002,2008-10-01,1,,,
50121,semestral,2008-05-01,2008-10-31,50205,false,"",50003,,1,,,
50122,anual,2008-05-01,2009-04-30,50161,false,master card,50002,2008-10-01,1,,,
50123,anual,2008-04-01,2009-03-31,50211,false,master,50002,2009-04-01,1,,,
50124,semestral,2008-01-01,2008-06-30,50071,false,debito,50003,,1,,,
50125,anual,2007-11-01,2008-10-31,50073,false,visa,50002,,1,,,
50126,Trimestral,2008-02-01,2008-04-30,50088,false,<p>credito todo junto</p>,50002,,1,,,
50127,anual,2008-05-01,2009-05-01,50014,false,visa,50002,2009-03-01,1,,,
50128,anual,2007-08-01,2008-09-30,50020,false,"",50005,,1,,,
50129,monitoria mensual,2008-05-01,2009-04-30,50055,false,por mes,50001,2008-08-04,1,,,
50130,anual,2007-06-01,2008-05-31,50058,false,"",50001,,1,,,
50131,anual,2008-03-01,2009-02-28,50126,false,tiene q traer los datos de la tarjeta,50002,,1,,,
50132,anual,2008-05-02,2009-04-01,50176,false,visa,50002,2008-06-01,1,,,
50133,anual,2008-03-01,2009-02-28,50127,false,"",50002,,1,,,
50134,anual,2007-08-01,2008-07-31,50070,false,visa,50002,,1,,,
50135,anual,2007-10-01,2008-09-30,50082,false,pago mensual,50001,,1,,,
50136,Semestral,2008-04-25,2008-10-25,50173,false,visa,50002,,1,,,
50137,Mensual,2008-05-01,2008-05-31,50175,false,convenio que hizo en barrio norte,50001,,1,,,
50138,TRI,2008-05-01,2008-07-31,50204,false,"",50004,,1,,,
50139,SEM,2008-05-01,2008-10-31,50195,false,"",50001,,1,,,
50141,Trimestral,2008-05-21,2008-08-21,50214,false,visa,50002,,1,,,
50142,anual,2008-05-01,2009-04-30,50190,false,"",50002,2008-10-01,1,,,
50143,anual,2008-05-01,2009-04-30,50007,false,"",50004,,1,,,
50144,Anual,2008-03-05,2009-02-05,50029,false,visa,50002,,1,,,
50145,anual,2007-12-01,2008-11-30,50112,false,master,50002,,1,,,
50146,anual,2007-11-05,2008-11-30,50113,false,<p>visa-electron</p>,50004,2008-12-01,1,,,
50147,Semestral,2008-04-01,2008-09-30,50203,false,<p>todo junto</p>,50001,,1,,,
50148,anual,2008-04-01,2009-03-31,50166,false,"",50002,,1,,,
50149,anual,2008-04-01,2009-03-31,50167,false,"",50002,2009-03-01,1,,,
50150,Anual,2008-04-01,2009-03-31,50206,false,"",50003,2008-09-01,1,,,
50151,Trimestral,2008-04-01,2008-06-30,50208,false,todo junto efectivo,50001,,1,,,
50152,Trimestral,2008-05-01,2008-07-31,50170,false,electron,50003,,1,,,
50153,Trimestral,2008-05-01,2008-07-31,50171,false,electron,50003,,1,,,
50154,Trimestral,2008-05-01,2008-07-31,50169,false,visa,50002,,1,,,
50155,Trimestral,2008-06-01,2008-08-31,50227,false,"",50002,,1,,,
50156,trim,2008-06-01,2008-08-31,50234,false,se vuelve a USA el 16 de agosto. no le cobrÃ© matricula,50002,,1,,,
50157,ANU,2007-12-01,2008-11-30,50061,false,"todo junto en 2 cuotas.
2 cuota en junio.",50001,,1,,,
50158,Semestral,2008-06-01,2009-01-30,50165,false,<p>extendido dic8 y ene9 porque tuvo ago8 y set8 <em>standby</em>.</p>,50002,2008-10-01,1,,,
50159,anual,2008-05-01,2009-04-30,50097,false,"",50002,,1,,,
50160,anual,2008-04-01,2009-03-31,50022,false,amex,50004,,1,,,
50161,anual,2008-03-01,2009-02-28,50134,false,visa,50002,,1,,,
50162,anual,2008-04-01,2009-03-31,50168,false,visa,50002,2008-12-01,1,,,
50163,Anual,2008-04-01,2009-03-31,50015,false,"",50001,,1,,,
50164,Anual,2008-02-01,2009-01-31,50053,false,"",50001,,1,,,
50165,Anual,2008-03-01,2009-02-28,50111,false,"",50001,,1,,,
50166,Semestral,2008-04-01,2008-07-31,50110,false,pago todo el plan :),50001,,1,,,
50167,Anual,2008-05-01,2009-04-01,50079,false,"",50002,,1,,,
50169,ANU,2008-06-05,2009-05-31,50242,false,"",50002,2008-10-01,1,,,
50170,anual,2008-06-11,2009-05-31,50251,false,"",50002,,1,,,
50171,anu,2008-06-18,2009-06-17,50132,false,probablemente cancela en Dic porque se quiere ir a vivir a brazil.,50002,2009-02-01,1,,,
50172,Semestral,2008-06-19,2008-12-19,50260,false,"",50002,,1,,,
50173,anual,2008-03-01,2009-03-31,50114,false,"",50001,2009-04-05,1,,,
50174,Anual,2008-07-01,2009-06-30,50271,false,"",50002,2008-10-01,1,,,
50175,TRI,2008-07-01,2008-09-30,50142,false,pago todo junto adelantado,50001,2008-09-01,1,,,
50176,anual,2008-06-01,2009-05-31,50126,false,"",50002,,1,,,
50177,semestral,2008-07-02,2009-01-02,50273,false,"",50002,,1,,,
50178,Semestral,2008-07-01,2008-12-31,50266,false,visa,50002,,1,,,
50179,anu,2008-06-18,2009-06-17,50253,false,"",50005,2009-02-01,1,,,
50180,Anual,2008-07-01,2009-06-30,50277,false,"",50002,2009-03-01,1,,,
50181,anu,2008-07-02,2009-06-30,50090,true,"",50004,,1,,,
50182,Semestral,2008-07-03,2008-12-31,50283,false,"",50002,,1,,,
50183,ANU,2008-07-07,2009-06-30,50258,false,"",50004,,1,,,
50184,Anual,2008-07-03,2009-06-30,50065,false,"",50002,,1,,,
50186,Anual,2008-07-04,2009-06-30,50067,false,Paga $75 porque es instructora y paga supervisiÃ³n ,50001,,1,,,
50187,Anual,2008-07-08,2009-06-30,50286,false,Se le cobra desde Agosto por promociÃ³n mes del amigo,50002,,1,,,
50188,Anual,2008-07-08,2009-06-30,50285,false,"",50002,2008-08-01,1,,,
50189,trimestral,2008-07-01,2008-09-30,50252,false,"",50001,,1,,,
50190,Anual,2008-05-01,2009-04-30,50185,false,"",50001,,1,,,
50191,Semestral,2008-07-10,2008-12-31,50296,false,"",50002,2009-01-01,1,,,
50193,sem,2008-07-10,2008-12-31,50292,false,"",50002,2009-01-01,1,,,
50194,anual,2008-06-01,2009-05-31,50064,false,"",50002,,1,,,
50195,anual,2008-07-01,2009-06-30,50140,false,faltan los datos de su nueva tarjeta,50002,,1,,,
50196,anual,2008-07-17,2009-06-30,50295,false,"",50002,2008-11-01,1,,,
50197,anual,2008-07-01,2009-06-30,50101,false,"",50001,,1,,,
50198,anual,2008-08-01,2009-07-31,50070,false,"",50002,2009-06-02,1,,,
50199,anual,2008-07-18,2009-06-10,50309,false,"",50001,2009-03-01,1,,,
50200,anual,2008-08-01,2009-07-31,50310,false,"",50001,2008-10-01,1,,,
50202,anual,2008-07-25,2009-06-25,50318,false,<p>tiene que3 traer la targeta nueva en estos d&iacute;as.</p>,50002,2009-05-02,1,,,
50203,anual,2008-08-01,2009-07-31,50335,false,"",50002,2009-05-01,1,,,
50204,anula,2008-08-01,2009-07-31,50342,false,"",50002,2009-06-02,1,,,
50205,anual,2008-08-01,2009-07-31,50019,false,"",50003,,1,,,
50206,anual,2008-08-01,2009-07-31,50019,false,"",50003,2008-03-18,1,,,
50207,anu,2008-08-01,2009-07-31,50018,false,"",50002,,1,,,
50208,anual,2007-12-01,2008-11-30,50039,false,"",50001,,1,,,
50209,SEM,2008-04-01,2008-08-31,50207,false,"",50001,,1,,,
50210,anu,2008-08-11,2009-07-31,50041,false,"",50001,2009-03-01,1,,,
50212,ANU,2008-08-11,2009-07-31,50336,false,"",50002,,1,,,
50213,anu,2008-07-11,2009-07-31,50265,false,"",50001,2008-10-01,1,,,
50214,tri,2008-08-11,2008-10-31,50274,false,"",50002,,1,,,
50215,anu,2008-08-11,2009-07-31,50349,false,"",50002,,1,,,
50216,sem,2008-07-11,2008-12-31,50279,false,"",50002,,1,,,
50217,anual vip,2008-07-11,2009-06-30,50031,true,"",50002,,1,,,
50218,Anual,2008-08-10,2009-07-31,50369,false,"",50003,2008-12-01,1,,,
50219,semestral,2008-08-01,2008-10-31,50376,false,<p>Sigui&oacute; el plan de su hermana</p>,50002,2008-11-01,1,,,
50220,Semestral,2008-05-01,2008-11-30,50490,false,"",50002,2008-11-01,1,,,
50221,Anual,2008-08-01,2009-07-31,50100,false,"",50005,2009-08-03,1,,,
50222,anual,2008-08-15,2009-08-14,50387,false,"",50003,,1,,,
50223,semestral,2008-08-19,2009-02-28,50124,false,"<p>pag&oacute; con tarjeta todo junto.</p>
<p>El plan corre hasta feb, enero y febrero es mantenimiento ya que va a estar de vacaciones.</p>",50002,,1,,,
50224,trimestral,2008-08-15,2008-10-31,50088,false,"<p>El plan dura hasta el 15 de noviembre, puse fecha de octubre para recordar renovar.</p>",50001,,1,,,
50225,Anual,2008-09-01,2009-08-30,50057,false,"",50002,,1,,,
50226,trimestral,2008-08-27,2008-11-30,50386,false,"<p>pag&oacute; solo el primer mes, septiembre</p>",50002,,1,,,
50227,trimestral,2008-09-01,2008-11-30,50411,false,"<p>miecoles 12.30</p>
<p>viernes 13.30</p>
<p>visa</p>",50002,2008-12-01,1,,,
50228,semestral,2008-09-01,2009-03-30,50384,false,"",50002,,1,,,
50229,trimestral,2008-09-01,2008-11-30,50383,false,<p>pasarlo del anual al trimestral</p>,50002,,1,,,
50230,semestral,2008-09-01,2009-02-28,50421,false,"",50002,,1,,,
50231,anual,2008-09-01,2009-08-31,50202,false,"",50002,,1,,,
50232,tri,2008-09-02,2008-11-30,50431,false,"",50002,2008-12-01,1,,,
50233,anual,2008-09-05,2009-08-30,50436,false,"",50002,2009-07-07,1,,,
50234,Anual,2008-09-01,2009-08-30,50045,false,"",50002,,1,,,
50235,trimestral,2008-09-01,2008-11-30,50417,false,"",50002,,1,,,
50236,Anual,2008-09-10,2009-08-30,50448,false,<p>Debito</p>,50003,2009-05-01,1,,,
50237,Anual,2008-09-10,2009-08-30,50089,false,"<p>Pag&oacute; todo el a&ntilde;o junto.</p>
<p>&nbsp;</p>",50001,,1,,,
50238,trimestral,2008-09-10,2008-12-09,50449,false,"",50001,,1,,,
50240,semestral,2008-09-01,2009-02-28,50011,false,<p>Pasa tarjeta american express o paga en efectivo</p>,50004,,1,,,
50241,trim,2008-09-01,2008-11-30,50422,false,"",50002,,1,,,
50242,mensual,2008-09-15,2008-09-30,50060,false,<p>Tiene un plan mensual solo por este mes a $145. Luego va a ir a san isidro</p>,50002,,1,,,
50243,mensual,2008-09-15,2008-09-30,50060,false,<p>Tiene un plan mensual solo por este mes a $145. Luego va a ir a san isidro</p>,50002,,1,,,
50244,trimestral,2008-09-02,2008-11-30,sche50433,false,"",50002,2008-10-01,1,,,
50245,Bimestral,2008-09-10,2008-11-10,50397,false,<p>pago todo junto con tarjeta en 1 cuota</p>,50001,2008-11-01,1,,,
50247,trimestral,2008-09-19,2008-12-30,50464,false,"",50002,,1,,,
50248,trim,2008-10-01,2008-12-31,50466,false,"",50002,,1,,,
50249,anu,2008-09-01,2009-08-30,50427,false,"",50002,2009-02-01,1,,,
50250,trim,2008-09-01,2008-11-30,50453,false,"",50002,2008-11-01,1,,,
50251,anual,2008-09-01,2009-08-31,50020,false,<p>hasta diciembre incluyen el pago de la comple.</p>,50005,,1,,,
50252,anual,2008-09-01,2009-08-31,50051,false,<p>anual instructor</p>,50001,,1,,,
50253,anual VIP,2008-10-01,2009-09-30,50054,true,"",50001,,1,,,
50254,anual,2008-09-01,2009-08-30,50405,false,"",50001,2008-12-01,1,,,
50255,anual,2008-09-01,2009-08-30,50410,false,"",50001,2008-12-01,1,,,
50256,trim,2008-10-02,2008-12-31,50474,false,"",50001,2008-11-01,1,,,
50257,Anual,2008-10-10,2009-09-30,50343,false,"",50002,,1,,,
50258,trimestral,2008-10-01,2008-12-31,50481,false,"",50002,,1,,,
50259,semestral,2008-10-01,2009-03-30,50494,false,<p>va a interrumpir el plan en unos meses por maternidad</p>,50001,,1,,,
50260,anual,2008-10-01,2009-09-30,50119,false,<p>cobrar solo octubre y noviembre con esa tarjeta porque despu&eacute;s va a cambiarla.</p>,50002,,1,,,
50261,Anual,2008-10-02,2009-09-30,50485,false,"",50002,2009-06-01,1,,,
50262,anual,2008-09-01,2009-08-31,50035,false,"",50004,2009-03-01,1,,,
50263,anual,2008-09-06,2009-08-31,50418,false,"",50002,2008-12-01,1,,,
50264,anual,2008-09-05,2009-08-31,50227,false,"",50002,,1,,,
50265,anual,2008-10-01,2009-09-30,50500,false,"",50002,,1,,,
50266,Anual,2008-10-01,2009-09-30,50508,false,"",50002,2009-08-03,1,,,
50267,semestral,2008-10-01,2009-03-31,50252,false,<p>pago todo junto con amex</p>,50002,,1,,,
50268,semestral,2008-11-01,2009-04-30,50479,false,"",50003,2009-01-01,1,,,
50269,TRI,2008-10-08,2008-12-31,50490,false,<p>pago todo junto</p>,50001,,1,,,
50270,TRI,2008-11-01,2009-01-30,50493,false,<p>noviembre ya tiene pago.</p>,50003,2008-12-01,1,,,
50271,anual,2008-10-16,2009-09-30,50526,false,"",50002,2009-01-01,1,,,
50272,anual,2008-11-01,2009-10-30,50510,false,"",50004,2009-05-01,1,,,
50273,Semestral,2008-11-01,2009-04-30,50274,false,"",50002,2008-12-01,1,,,
50274,Anual,2008-10-01,2009-09-30,50043,false,"",50001,,1,,,
50275,anual,2008-11-01,2009-11-30,50520,false,<p>pago en una sola cuota todo junto con amex</p>,50002,2009-08-01,1,,,
50276,semestral,2008-11-01,2009-04-30,50550,false,"",50002,2009-05-04,1,,,
50277,Semestral,2008-10-31,2009-02-28,50559,false,<p>Pag&oacute; 4 meses por 175 con tarjeta</p>,50002,2009-03-01,1,,,
50278,matricula,2008-10-31,2008-11-29,50558,false,<p>tiene que definir el plan durante noviembre</p>,50001,,1,,,
50279,matricula,2008-10-31,2008-11-29,50565,false,<p>tiene que definir plan durante noviembre</p>,50001,,1,,,
50280,trim,2008-11-03,2009-01-30,50545,false,"",50001,,1,,,
50281,anual,2008-11-03,2009-10-30,50074,false,"",50002,,1,,,
50282,anual,2008-11-03,2009-10-30,50544,false,"",50002,2009-08-03,1,,,
50283,matricula,2008-11-04,2008-11-30,50568,false,<p>tiene que definir plan</p>,50001,,1,,,
50284,anual,2008-11-07,2009-11-06,50541,false,"<p>en diciembre, cuando haga su pago, hay que anotar los datos de su tarjeta en el contrato, porque no pago noviembre con la tarjeta que va a usar en los pr&oacute;ximos pagos.</p>",50004,2009-05-01,1,,,
50285,Tri,2008-11-07,2009-01-31,50562,false,"",50001,,1,,,
50286,Anual VIP,2008-11-01,2009-10-30,50033,true,"",50002,,1,,,
50287,Anual,2008-10-01,2009-09-30,50062,false,"",50002,2009-03-01,1,,,
50288,Anual,2008-10-01,2009-03-30,50026,false,"",50004,2009-04-05,1,,,
50289,Anual,2008-11-25,2009-11-30,50608,false,"",50002,,1,,,
50290,anual,2008-11-26,2009-11-30,50087,true,<p>$250 por mes</p>,50002,,1,,,
50291,bimestral,2008-11-26,2009-01-30,50417,false,<p>$225 por enero. todav&iacute;a no pag&oacute;</p>,50001,,1,,,
50292,Anual,2008-12-01,2009-11-30,50588,false,"",50001,2009-02-01,1,,,
50293,anual,2008-12-04,2009-11-30,50283,true,<p>$240 por mes</p>,50002,,1,,,
50294,anual,2008-11-01,2009-10-31,50073,false,"",50007,,1,,,
50295,anual,2008-12-01,2009-11-30,50005,false,<p>le paga el papa xavier. trajo solo algunos. $160 por mes.</p>,50005,2009-08-01,1,,,
50296,anual,2008-12-01,2009-11-30,50139,false,<p>le paga a agustina. trajo solo algunos cheques. $160 por mes.</p>,50005,2009-02-01,1,,,
50297,anual,2008-12-02,2008-12-30,50105,false,<p>enero mantenimiento!</p>,50002,,1,,,
50298,trim,2008-12-01,2009-02-28,50617,false,"",50001,,1,,,
50299,trim ,2008-12-02,2009-02-28,50618,false,<p>plan trim a precio anual</p>,50002,,1,,,
50300,anual,2009-01-01,2009-12-31,50105,false,<p>enero mantenimiento!</p>,50002,2009-04-01,1,,,
50301,trim,2008-12-01,2009-02-28,50612,false,<p>trim a valor anual x la hermana</p>,50002,,1,,,
50302,Tri,2008-12-01,2009-02-28,50638,false,"",50001,,1,,,
50303,anual,2008-12-01,2009-11-30,50039,false,"",50002,,1,,,
50304,trimestral,2008-12-01,2009-02-28,50653,false,<p>precios de la promoci&oacute;n</p>,50002,,1,,,
50305,anual,2008-12-16,2009-11-30,50112,false,"",50002,,1,,,
50306,anual,2009-01-01,2009-12-31,50668,false,<p>debe datos de la tarjeta</p>,50007,,1,,,
50307,trimestral,2009-01-01,2009-03-31,50669,false,<p>$115 por mes</p>,50002,2009-04-05,1,,,
50308,Tri,2009-01-05,2009-03-31,50490,false,"",50001,,1,,,
50309,anual,2009-01-05,2009-12-26,50030,false,"",50002,2009-09-07,1,,,
50310,Tri verano,2009-01-07,2009-03-31,50679,false,"",50002,,1,,,
50311,Anual,2009-02-01,2010-01-31,50076,false,"",50001,,1,,,
50312,trim,2009-01-01,2009-02-28,50618,false,"",50002,,1,,,
50313,anu,2009-01-01,2009-12-30,50279,false,"",50007,,1,,,
50314,Trimestral,2009-01-01,2009-03-31,50371,false,"",50001,,1,,,
50315,trim,2009-01-01,2009-03-30,50707,false,<p>promo 180 x mes</p>,50002,,1,,,
50316,anu,2009-01-01,2009-12-30,50667,false,"",50007,,1,,,
50317,anual,2008-07-08,2009-06-30,50286,false,"",50002,2009-04-01,1,,,
50318,Trimestral,2009-01-15,2009-04-14,50703,false,"",50002,2009-05-04,1,,,
50319,Trimestral,2009-02-01,2009-04-30,50683,false,<p>promo trim al precio de anual ($180 por mes). pag&oacute; con tarjeta en 3 cuotas.</p>,50001,,1,,,
50320,Trimestral,2009-02-01,2009-04-30,50714,false,<p>promo trim al precio de anual ($180 por mes). pag&oacute; con tarjeta en 1 pago.</p>,50001,,1,,,
50321,Trimestral,2009-02-02,2009-04-30,50704,false,"",50002,,1,,,
50322,Trimestral,2009-01-01,2009-03-30,50696,false,"",50002,,1,,,
50323,trimestral,2009-02-01,2009-04-30,50712,false,"",50002,,1,,,
50324,anual,2008-12-01,2009-11-30,50094,false,"",50002,,1,,,
50325,Anual,2009-02-01,2010-01-31,50023,false,"",50002,2009-11-03,1,,,
50326,Anual,2008-12-01,2009-11-30,50422,false,"",50002,,1,,,
50327,Trimestral,2008-12-01,2009-02-28,50600,false,<p>Trimestral a precio de anual- Promo vigente</p>,50002,,1,,,
50328,Trimestral,2009-02-01,2009-04-30,50781,false,<p>promo trim al precio de anual ($180 por mes)</p>,50003,,1,,,
50329,trimestral (promo),2009-02-01,2009-04-28,50699,false,<p>solo puede&lt; pagar efectivo por mes. le dije que si porque es muy copado.</p>,50001,,1,,,
50330,Anual,2008-12-01,2009-11-30,50032,false,"",50002,,1,,,
50331,Anual,2008-10-01,2009-09-30,50024,false,"",50003,,1,,,
50332,monitorí­a,2009-01-01,2009-12-31,50010,false,"",50001,,1,,,
